"7", "1", "25","Bottle",4, "Top endcap did not close"
"12", "1", "3","Bottle",4, "Top endcap did not close"
"14", "1", "36","Bottle",4, "Low O2 Draw temp; spigot pushed in"
"33", "1", "3","Bottle",4, "bottle did not close"
"34", "1", "22","Bottle",4, "bottle did not close"
"35", "1", "3","Bottle",4, "bottle did not close"
"41", "1", "2","Bottle",4, "High O2 draw temp; nutrient and o2 values off"
"41", "1", "3","Bottle",4, "bottle did not close"
"42", "1", "3","Bottle",4, "bottle did not close"
"76", "1", "2","Bottle",3, "Top o-ring unseated"
