001/01,101,Bottle,3,cms,Leaking.
011/01,101,Reference T,3,cms,SBE35 value does not match profile or adjacent casts. Code questionable.
011/01,133,Reference T,3,cms,Unstable temperature in all 3 sensors. Code questionable.
011/01,133,CTD T1 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
011/01,133,CTD T2 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
011/01,134,Reference T,3,cms,Unstable temperature in all 3 sensors. Code questionable.
011/01,134,CTD T1 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
011/01,134,CTD T2 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
012/01,102,Salinity,4,cms,Salinity value high vs DCTC1/CTDC2 for this part of profile. Value better matches level 3. Possible mis-sample. code bad.  
012/01,128,CTD T2 Temperature,4,cms,CTDT2 high vs CTDT1/SBE35. Code bad.
012/01,129,Salinity,2,cms,Salinity value high vs CTDC1/CTDC2. High gradient. Matches upcast. Code good.
013/01,122,Salinity,2,cms,Salinity value high vs CTDC1/CTDC2. High gradient. Matches upcast. Code good.
014/03,303,Bottle,3,slog,Bottle leaking. Bad.
014/03,305,Bottle,3,slog,Bottle slow flow. Possible blocked spigot.
014/03,306,Bottle,3,slog,Bottle leaking. Top air vent left open.
014/03,318,Bottle,3,slog,Bottle leaking. Bad.
014/03,331,Bottle,3,slog,Bottle leaking. Bad.
015/01,104,Bottle,2,slog,Grease on spigot.
015/01,105,Bottle,3,slog,Bottle slow flow. Possible blocked air vent.
015/01,118,Bottle,3,slog,Bottle leaking. Possible top end cap. Replaced top end cap after cast.
016/01,108,Bottle,3,slog,Bottle leaking. Top o-ring not seated correctly.
016/01,118,Bottle,3,slog,Bottle leaking. Replaced Bottletle after cast. 
016/01,122,Reference T,4,cms,SBE35 value high vs CTDT1/CTDT2. High gradient. Sensor needed more time to equilibrate. Code bad.
016/01,122,Salinity,2,cms,Salinity value high vs CTDC1/CTDC2. High gradient. Matches upcast. Code good.
017/01,110,Bottle,3,slog,Leaking from Bottletom end cap.
017/01,122,Bottle,3,slog,Leaker
018/01,118,CTD T1 Temperature,3,cms,CTDT1 low vs CTDC2/SBE35. Code questionable.
018/01,119,Salinity,2,cms,CTDT1 low vs CTDC2/SBE35. Salinity valuie matches upcast.
018/01,122,Salinity,4,cms,Salinity value anomalously high. Code bad.
019/02,221,Reference T,3,cms,Unstable temperature in all 3 sensors. Code questionable.
019/02,221,CTD T1 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
019/02,221,CTD T2 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
019/02,222,Reference T,3,cms,Unstable temperature in all 3 sensors. Code questionable.
019/02,222,CTD T1 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
019/02,222,CTD T2 Temperature,3,cms,Unstable temperature in all 3 sensors. Code questionable.
002/03,321,Salinity,2,cms,Salinity value low vs CTDC1/CTDC2. Matches upcast data. Code good.
022/01,103,Bottle,3,slog,Bottle had slight leak before vent opened.
022/01,106,Bottle,2,slog,Lanyard broken then replaced after sampling.
023/02,222,Reference T,4,cms,SBE35 value low vs CTDT1/CTDT2. Sensor did not equilibrate.
