2,3,6,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
2,3,10,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
2,3,11,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
3,1,2,PH_TMP,3,"High baseline absorbance (Ao=-0.009)"
3,1,2,PH_TOT,3,"High baseline absorbance (Ao=-0.009)"
3,1,14,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
3,1,24,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
3,1,26,PH_TMP,3,"Difference between replicates was 0.0013"
3,1,26,PH_TOT,3,"Difference between replicates was 0.0013"
5,1,17,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
5,1,33,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
6,1,1,PH_TMP,3,"High baseline absorbance (Ao=0.009)"
6,1,1,PH_TOT,3,"High baseline absorbance (Ao=0.009)"
6,1,17,ALKALI,3,"Operator thinks the sampling pipette might not have been properly filled."
6,1,27,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
6,1,28,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
6,1,32,OXYGEN,3,"Bottle value is a little high compared with profile. No feature to support the divation on this trace. Code questionable."
7,2,12,ALKALI,3,"No issues found with analyses but values for 12-15 jump back and forth. Irregular pattern. Sampled incorrectly?"
7,2,13,ALKALI,3,"No issues found with analyses but values for 12-15 jump back and forth. Irregular pattern. Sampled incorrectly?"
7,2,14,ALKALI,3,"No issues found with analyses but values for 12-15 jump back and forth. Irregular pattern. Sampled incorrectly?"
7,2,15,ALKALI,3,"No issues found with analyses but values for 12-15 jump back and forth. Irregular pattern. Sampled incorrectly?"
7,2,21,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
7,2,24,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
7,2,25,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
7,2,26,ALKALI,2,"Values for 26 and 27 appear to be switched. Will tell samplers to double check bottle and niskin numbers when sampling."
7,2,26,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
7,2,27,ALKALI,3,"Values appears high"
7,2,31,OXYGEN,2,"Bottle value does not match downcast, does match upcast. Code good."
